"","SAMPLEID","cfu","dilution_factor","less_tissue","total_weight","tissueweight","logcfu_per_gram","zero_cfu"
"23","m2@fecal@van@r5@7d_9",38,50,8.1498,8.1805,0.0306999999999995,4.79161522547565,4.79161522547565
"24","m3@fecal@van@r5@21d_21",1,5,8.0179,8.0623,0.0444000000000013,2.05158703422139,0
"25","m2@fecal@control@r5@7d_9",1,5,8.1591,8.1856,0.0265000000000004,2.2757241303992,0
"26","m3@ileum_mucosa@control@r5@21d_21",1,5,7.9249,7.9408,0.0159000000000002,2.49757288001556,0
"27","m3@ileum_mucosa@control@r5@7d_14",1,5,8.1207,8.1525,0.0318000000000005,2.19654288435158,0
"28","m2@fecal@psg@r5@7d_14",239,50,8.1995,8.2383,0.0388000000000002,5.48853617968995,5.48853617968995
"29","m1@fecal@control@r5@7d_9",1,5,8.1856,8.197,0.0113999999999983,2.64206515299961,0
"30","m2@ileum_mucosa@van@r5@21d_21",1,5,8.0623,8.1032,0.0408999999999988,2.08724669632869,0
"31","m1@fecal@van@r5@7d_9",97,5,8.1805,8.2054,0.0248999999999988,4.28954239150655,4.28954239150655
"32","m3@ileum_mucosa@psg@r5@7d_9",63,50,8.1131,8.1434,0.0303000000000004,5.01686792528729,5.01686792528729
"33","m3@fecal@van@r5@7d_9",3,5,8.1157,8.1498,0.0341000000000005,2.64333688006318,2.64333688006318
"34","m1@ileum_mucosa@control@r5@7d_14",1,5,8.1795,8.2239,0.0443999999999996,2.0515870342214,0
"35","m1@fecal@van@r5@21d_21",1,5,8.1032,8.1256,0.0224000000000011,2.34872198600184,0
"36","m2@fecal@psg@r5@7d_9",47,50,8.1434,8.1903,0.0469000000000008,4.69989501955665,4.69989501955665
"37","m2@ileum_mucosa@van@r5@7d_9",38,50,8.1498,8.1805,0.0306999999999995,4.79161522547565,4.79161522547565
"38","m1@ileum_mucosa@van@r5@21d_21",1,5,8.1032,8.1256,0.0224000000000011,2.34872198600184,0
"39","m1@ileum_mucosa@psg@r5@7d_9",39,500,8.1903,8.2236,0.0332999999999988,5.76759037785621,5.76759037785621
